,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
14,54548.0,1100,47.0,1.0,5.0,35.4217536,136.6011482,513.5587541281596,20200401
15,54548.0,1109,9.0,7.0,100.0,35.4182537,136.5988253,442.9440431177938,20200401
16,54548.0,1115,6.0,1.0,2.0,35.418797,136.5996334,95.03756067560852,20200401
17,54548.0,1119,4.0,2.0,40.0,35.4144125,136.5984407,499.930232624533,20200401
18,54548.0,1125,6.0,3.0,44.0,35.4105255,136.59727846666667,445.361428614601,20200401
19,54548.0,1130,5.0,2.0,60.0,35.408572,136.5939304,373.58259191269985,20200401
20,54548.0,1144,14.0,1.0,180.0,35.429398,136.5930754,2319.6368727395943,20200401
21,54548.0,1147,3.0,1.0,2.0,35.4295215,136.5952197,194.98706055170527,20200401
22,54548.0,1152,5.0,1.0,10.0,35.4276481,136.5918108,372.9662280537827,20200401
23,54548.0,1157,5.0,7.0,161.0,35.4289755,136.5868426,474.2613449759896,20200401
0,55135.0,930,13.0,1.0,20.0,35.354623,136.614014,892.8480785636392,20200401
1,55135.0,943,13.0,2.0,30.0,35.36541015,136.62817175,1758.9710184717233,20200401
2,55135.0,957,14.0,1.0,20.0,35.366256,136.6305236,233.33821977643464,20200401
3,55135.0,1001,44.0,3.0,30.0,35.3660951,136.6304543,18.984078420631363,20200401
4,55135.0,1003,2.0,2.0,5.0,35.365636,136.6302107,55.68580888611352,20200401
5,55135.0,1004,1.0,3.0,30.0,35.36565603333333,136.6305448,30.410951083120658,20200401
6,55135.0,1011,7.0,2.0,58.0,35.3665655,136.6307297,102.62332870018966,20200401
7,55135.0,1013,2.0,1.0,6.0,35.365831,136.6304464,85.7132348914582,20200401
8,55135.0,1019,6.0,1.0,10.0,35.3649871,136.6305336,94.2754698978661,20200401
9,55135.0,1022,3.0,1.0,20.0,35.3660597,136.6303961,120.05193526627275,20200401
10,55135.0,1026,4.0,1.0,3.0,35.3666307,136.6295178,101.96648920342889,20200401
11,55135.0,1028,2.0,1.0,61.0,35.3667163,136.6297823,25.832277844017334,20200401
12,55135.0,1039,11.0,5.0,40.0,35.3650729,136.631143,220.7385999632353,20200401
0,55528.0,921,14.0,1.0,10.0,35.3237873,136.6422616,1974.3888462957664,20200401
1,55528.0,927,6.0,1.0,10.0,35.3426492,136.6564053,2461.4132483343283,20200401
2,55528.0,932,5.0,12.0,300.0,35.3466798,136.6611663,623.0630033163872,20200401
3,55528.0,948,16.0,2.0,40.0,35.3461736,136.6626055,142.31080067260413,20200401
4,55528.0,951,3.0,2.0,50.0,35.3460829,136.6631621,51.53816823991158,20200401
5,55528.0,958,7.0,2.0,152.0,35.3422118,136.6665009,526.8894133758869,20200401
6,55528.0,1003,45.0,3.0,32.0,35.3383944,136.6604857,692.0552705623022,20200401
7,55528.0,1012,9.0,4.0,163.0,35.3370313,136.6606144,152.18895301667914,20200401
8,55528.0,1013,1.0,1.0,20.0,35.3367072,136.6618272,115.89396585198887,20200401
9,55528.0,1017,4.0,1.0,10.0,35.3329449,136.666748,612.4562529097739,20200401
10,55528.0,1019,2.0,1.0,60.0,35.3322386,136.6668447,79.11387998353494,20200401
