,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
5,56267.0,1031,4.0,1.0,40.0,35.4559192,136.5792163,361.7276616038302,20191101
6,56267.0,1040,9.0,1.0,32.0,35.4522901,136.5842822,611.7414101922901,20191101
7,56267.0,1044,4.0,2.0,80.0,35.4409771,136.5808775,1296.6554046463048,20191101
8,56267.0,1053,9.0,8.0,80.0,35.4391265,136.5835191,315.97018478338646,20191101
9,56267.0,1100,47.0,6.0,120.0,35.436924299999994,136.57618550000004,708.8728291009436,20191101
10,56267.0,1110,10.0,1.0,6.0,35.4422604,136.5717867,715.5492317928355,20191101
11,56267.0,1113,3.0,1.0,80.0,35.442737,136.5720655,58.771867508688175,20191101
12,56267.0,1119,6.0,1.0,2.0,35.441738,136.5679133,392.6491854777062,20191101
13,56267.0,1123,4.0,1.0,24.0,35.4432232,136.5639918,392.198844891288,20191101
14,56267.0,1132,9.0,4.0,135.0,35.4473319,136.5652092,470.5147128670969,20191101
15,56267.0,1135,3.0,1.0,20.0,35.4472892,136.5642382,88.18461688119478,20191101
16,56267.0,1141,6.0,2.0,21.0,35.4525557,136.5536299,1126.56249892303,20191101
17,56267.0,1147,6.0,4.0,74.0,35.4526959,136.563661,909.7574716270314,20191101
18,56267.0,1153,6.0,1.0,161.0,35.4559718,136.555459,828.336301790529,20191101
19,56267.0,1155,2.0,1.0,5.0,35.4560109,136.5540488,127.94610940154105,20191101
20,56267.0,1202,47.0,1.0,2.0,35.4632758,136.5423317,1335.2033710156493,20191101
21,56267.0,1207,5.0,3.0,39.0,35.4665726,136.5404996,402.840108330712,20191101
22,56267.0,1212,5.0,1.0,40.0,35.4641485,136.5454306,522.2010546722469,20191101
23,56267.0,1219,7.0,1.0,10.0,35.4681936,136.5495555,585.348645320567,20191101
24,56267.0,1227,8.0,10.0,160.0,35.4664033,136.5518891,290.65748163678137,20191101
25,56267.0,1234,7.0,2.0,18.0,35.46779,136.5647972,1180.437259606207,20191101
0,56548.0,1006,58.0,12.0,425.0,35.458391,136.5863489,1630.9770837332535,20191101
1,56548.0,1021,15.0,42.0,881.0,35.45678780000001,136.58811090000003,239.53438655030504,20191101
0,113062.0,925,12.0,2.0,740.0,35.4131573,136.6079414,13.184438244675047,20191101
0,113370.0,1003,51.0,19.0,740.0,35.1659715,136.6407098,1500.8159101380518,20191101
1,113370.0,1020,17.0,1.0,22.0,35.1630683,136.6430029,384.70097745038424,20191101
2,113370.0,1041,21.0,1.0,30.0,35.1596734,136.6329793,987.40615680383,20191101
3,113370.0,1046,5.0,6.0,67.0,35.1619421,136.6307799,322.25304048143505,20191101
4,113370.0,1059,13.0,1.0,8.0,35.1845701,136.6276242,2535.251659917376,20191101
5,113370.0,1106,47.0,3.0,35.0,35.1843327,136.6176501,907.8439523025719,20191101
6,113370.0,1115,9.0,2.0,40.0,35.1935775,136.6197689,1047.023411623515,20191101
0,114875.0,909,909.0,4.0,120.0,35.3545329,136.63270723333332,171.02421639436295,20191101
1,114875.0,922,13.0,28.0,300.0,35.3567022,136.6368934,450.2897838759137,20191101
2,114875.0,937,15.0,2.0,20.0,35.3553949,136.6410409,403.6910734428885,20191101
3,114875.0,941,4.0,2.0,27.0,35.354816,136.6353199,523.3926446457743,20191101
0,131829.0,848,20.0,1.0,150.0,35.3911215,136.630626,647.69656277608,20191101
1,131829.0,909,61.0,1.0,260.0,35.4132551,136.59938,3756.196716128353,20191101
