,day,DriverID,dtime[min],number,weight,distance[m]
4,20200406,214818,6,5,56,60.90909175
5,20200406,214818,5,2,40,84.83296289
6,20200406,214818,46,3,19,88.06581833
7,20200406,214818,-74,1,10,501.8543506
8,20200406,214818,9,1,1,168.726685
9,20200406,214818,71,5,42,874.3257491
10,20200406,214818,13,1,10,718.7240239
0,20200406,221096,3,2,26,144.9799821
1,20200406,221096,7,1,5,186.3702732
2,20200406,221096,8,7,229,1028.315246
3,20200406,221096,6,1,2,1111.927782
4,20200406,221096,65,1,20,1504.728158
5,20200406,221096,7,1,90,730.5412456
6,20200406,221096,13,4,40,150.8847444
7,20200406,221096,5,6,79,234.2294029
8,20200406,221096,6,2,40,1139.616271
9,20200406,221096,54,1,5,1213.74419
10,20200406,221096,21,10,193,377.3119174
