,day,DriverID,dtime[min],number,weight,distance[m]
4,20200501,31202,7.0,4.0,80.0,196.97775261777932
5,20200501,31202,5.0,1.0,10.0,32.15499271027822
6,20200501,31202,5.0,4.0,107.0,261.53226867377117
7,20200501,31202,2.0,1.0,20.0,109.3790218816819
8,20200501,31202,9.0,1.0,41.0,169.33495957785328
9,20200501,31202,47.0,7.0,47.0,483.47508630895584
10,20200501,31202,4.0,3.0,31.0,260.61244690001286
11,20200501,31202,8.0,13.0,193.0,185.39670679114766
12,20200501,31202,6.0,1.0,20.0,125.38738339307504
13,20200501,31202,5.0,1.0,1.0,589.5349358704997
14,20200501,31202,6.0,1.0,25.0,187.25626285540247
15,20200501,31202,7.0,4.0,29.0,852.5197436088779
16,20200501,31202,9.0,1.0,10.0,56.66793977310726
17,20200501,31202,2.0,15.0,300.0,225.48470143093883
18,20200501,31202,52.0,2.0,20.0,74.77410304010309
19,20200501,31202,2.0,22.0,239.0,383.28457094227105
20,20200501,31202,18.0,2.0,32.0,508.9992149117902
21,20200501,31202,23.0,1.0,5.0,1036.5477254943155
22,20200501,31202,7.0,2.0,6.0,239.92732617071027
23,20200501,31202,5.0,5.0,73.0,109.57943387217637
24,20200501,31202,-55.0,3.0,30.0,1157.4405281365875
25,20200501,31202,50.0,1.0,10.0,1181.9813963648594
0,20200501,31727,11.0,2.0,32.0,100.52800862388104
1,20200501,31727,5.0,1.0,5.0,532.5477383520492
2,20200501,31727,4.0,1.0,10.0,29.058507750235513
3,20200501,31727,5.0,1.0,2.0,135.23842025193804
4,20200501,31727,8.0,1.0,17.0,162.28936708542304
5,20200501,31727,3.0,2.0,22.0,20.111585157733213
6,20200501,31727,59.0,7.0,102.0,124792.86492386396
7,20200501,31727,2.0,1.0,2.0,124974.2610316601
8,20200501,31727,3.0,1.0,10.0,44.93821970761981
9,20200501,31727,9.0,1.0,1.0,63.29645291123451
10,20200501,31727,7.0,41.0,410.0,26.697061766930883
11,20200501,31727,7.0,1.0,9.0,175.87237957034165
0,20200501,54056,12.0,2.0,42.0,1058.2105894710203
1,20200501,54056,7.0,16.0,168.0,511.27487137248085
2,20200501,54056,-7.0,24.0,850.0,511.27487137248085
3,20200501,54056,66.0,4.0,145.0,1151.3320486576467
4,20200501,54056,7.0,1.0,6.0,166.21700027949956
5,20200501,54056,7.0,20.0,414.0,46.289575622032416
